OTU,Domain,Phylum,Class,Order,Family,Genus,Label
BOTU_6777,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas/Armatimonadetes_gp3,BOTU_6777_Chthonomonas/Armatimonadetes_gp3
BOTU_6778,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6778_Bacteria
BOTU_6779,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6779_Proteobacteria
BOTU_678,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,unidentified,BOTU_678_Rhodanobacteraceae
BOTU_6780,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6780_Bacteria
BOTU_6781,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6781_Bacteria
BOTU_6782,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,unidentified,unidentified,BOTU_6782_Planctomycetales
BOTU_6783,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6783_Bacteria
BOTU_6784,Bacteria,Armatimonadetes,unidentified,unidentified,unidentified,Armatimonadetes_gp5,BOTU_6784_Armatimonadetes
BOTU_6785,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6785_Bacteria
BOTU_6786,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6786_Bacteria
BOTU_6787,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_6787_Bacteroidetes
BOTU_6788,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6788_Bacteria
BOTU_6789,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6789_Bacteria
BOTU_679,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,BOTU_679_Opitutus
BOTU_6790,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gemmataceae,unidentified,BOTU_6790_Gemmataceae
BOTU_6791,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6791_Bacteria
BOTU_6792,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6792_Bacteria
BOTU_6793,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6793_Bacteria
BOTU_6794,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,BOTU_6794_Aquicella
BOTU_6795,Bacteria,Actinobacteria,Actinobacteria,unidentified,unidentified,unidentified,BOTU_6795_Actinobacteria
BOTU_6796,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6796_Bacteria
BOTU_6797,Bacteria,Actinobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6797_Actinobacteria
BOTU_6798,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,BOTU_6798_Legionella
BOTU_6799,Bacteria,Parcubacteria,unidentified,unidentified,unidentified,Parcubacteria_genera_incertae_sedis,BOTU_6799_Parcubacteria
BOTU_68,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unidentified,unidentified,BOTU_68_Rhizobiales
BOTU_680,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea,BOTU_680_Chryseolinea
BOTU_6800,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6800_Bacteria
BOTU_6801,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6801_Bacteria
BOTU_6802,Bacteria,Microgenomates,unidentified,unidentified,unidentified,Microgenomates_genera_incertae_sedis,BOTU_6802_Microgenomates
BOTU_6803,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6803_Bacteria
BOTU_6804,Bacteria,Actinobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6804_Actinobacteria
BOTU_6805,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6805_Bacteria
BOTU_6806,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,BOTU_6806_Terrimonas
BOTU_6807,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6807_Bacteria
BOTU_6808,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6808_Bacteria
BOTU_6809,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas/Armatimonadetes_gp1,BOTU_6809_Armatimonas/Armatimonadetes_gp1
BOTU_681,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,unidentified,BOTU_681_Streptosporangiaceae
BOTU_6810,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6810_Bacteria
BOTU_6811,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6811_Bacteria
BOTU_6812,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,unidentified,unidentified,BOTU_6812_Planctomycetales
BOTU_6813,Bacteria,Proteobacteria,unidentified,unidentified,unidentified,unidentified,BOTU_6813_Proteobacteria
BOTU_6814,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_6814_Bacteria
BOTU_6815,Bacteria,Bacteroidetes,unidentified,unidentified,unidentified,unidentified,BOTU_6815_Bacteroidetes
